Candidate Name,District,Cook Rating,Position,Source,Source URL
Maxwell Frost,FL-10,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
James Pericola,FL-11,Solid R,Does not support Medicare for All,News coverage,https://jamespericola.com/
Kimberly Overman,FL-12,Solid R,Does not support Medicare for All,Campaign site,https://kimberlyoverman.com/issues
Leela Gray,FL-13,Likely R,Does not support Medicare for All,Campaign site,https://www.leelagray.com/issues/fighting-for-our-most-vulnerable
Kathy Castor,FL-14,Toss Up,Does not support Medicare for All,Campaign site,https://castorforcongress.com/about
Robert People,FL-15,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.peopleforcongress.com/general-7
Kelly Kirschner,FL-16,Solid R,Does not support Medicare for All,Campaign site,https://kellykirschner.com/
Matthew Montavon,FL-17,Solid R,Does not support Medicare for All,Campaign site,https://www.montavonforcongress.com/new-page
Curtis Gibson,FL-18,Solid R,Does not support Medicare for All,Campaign site,https://votecurtisgibson.com/
Victor Arias,FL-19,Solid R,Does not support Medicare for All,News coverage,https://votearias.us/
Debbie Wasserman Schultz,FL-20,Solid D,Does not support Medicare for All,Campaign site,https://debbiewassermanschultz.com/
James Martin,FL-21,Solid R,Does not support Medicare for All,Campaign site,https://www.jamesmartinforflorida.com/
Pia Dandiya,FL-22,Lean R,Does not support Medicare for All,News coverage,https://piaforcongress.com/priorities
Lois Frankel,FL-23,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Oliver Gilbert,FL-24,Solid D,Supports Medicare for All or single-payer,News coverage,https://www.oliverforcongress.com/issues/healthcare
Jared Moskowitz,FL-25,Toss Up,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Nicole Locklin,FL-26,Solid R,Supports Medicare for All or single-payer,Campaign site,https://locklinforcongress.com/issues-healthcare
Eliott Rodriguez,FL-27,Likely R,Does not support Medicare for All,News coverage,https://www.cbsnews.com/miami/news/2026-florida-primary-district-27-eliott-rodriguez/
Phil Ehr,FL-28,Solid R,Does not support Medicare for All,Campaign site,https://ehrforcongress.us/meet-phil
Amanda Hollowell,GA-01,Solid R,Does not support Medicare for All,Campaign site,https://www.amandaforga.com/issues
Sanford Bishop,GA-02,Solid D,Does not support Medicare for All,Campaign site,https://sanfordbishop.com/issues
Maura Keller,GA-03,Solid R,Does not support Medicare for All,Campaign site,https://maurakeller.com/issues
Hank Johnson,GA-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Nikema Williams,GA-05,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Lucy McBath,GA-06,Solid D,Does not support Medicare for All,Campaign site,https://lucyforcongress.com/issues
Anthony Kozycki,GA-07,Solid R,Does not support Medicare for All,News coverage,https://kozyckiforcongress.com/issues.html
Kelly Etsi,GA-08,Solid R,Does not support Medicare for All,News coverage,https://www.kellyesti4congress.com/
Caitlyn Gegen,GA-09,Solid R,Supports Medicare for All or single-payer,News coverage,https://nowgeorgia.com/gegen-pitches-progressive-platform-systemic-change-in-9th-district-race/
Pamela DeLancy,GA-10,Solid R,Does not support Medicare for All,Campaign site,https://www.votepamdelancy.com/issues
Chris Harden,GA-11,Solid R,Does not support Medicare for All,Campaign site,https://www.electharden.com/
Ceretta Smith,GA-12,Solid R,Does not support Medicare for All,News coverage,https://cerettaforga.com/
Jasmine Clark,GA-13,Solid D,Does not support Medicare for All,Campaign site,https://www.jasmine4ga.com/agenda
Shawn Harris,GA-14,Solid R,Does not support Medicare for All,Campaign site,https://www.shawnforgeorgia.com/on-the-issues/healthcare
Ed Case,HI-01,Solid D,Does not support Medicare for All,News coverage,https://edcase.com/agenda/
Jill Tokuda,HI-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Christina Bohannan,IA-01,Toss Up,Does not support Medicare for All,Campaign site,https://bohannanforcongress.com/priorities
Lindsay James,IA-02,Lean R,Does not support Medicare for All,Campaign site,https://www.lindsayforiowa.com/issues/issue-2
Sarah Trone Garriott,IA-03,Toss Up,Does not support Medicare for All,Campaign site,https://sarahforiowa.com/issue/health-care-thats-affordable-and-there-when-you-need-it
Dave Dawson,IA-04,Solid R,Does not support Medicare for All,News coverage,https://davedawsonforiowa.com/
Kaylee Peterson,ID-01,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.kayleeforcongress.com/platform
Elinor Gilbreath,ID-02,Solid R,Does not support Medicare for All,News coverage,https://ellieforidaho.com/
Jonathan Jackson,IL-01,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Donna Miller,IL-02,Solid D,Supports Medicare for All or single-payer,Campaign site,https://donnaforcongress.com/priorities
Delia Ramirez,IL-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Patty Garcia,IL-04,Solid D,Supports Medicare for All or single-payer,Campaign site,https://pattyforillinois.com/issues
Mike Quigley,IL-05,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Sean Casten,IL-06,Solid D,Does not support Medicare for All,Campaign site,https://www.castenforcongress.com/issues/health-care
La Shawn Ford,IL-07,Solid D,Does not support Medicare for All,Campaign site,https://fordforcongress.com/healthcare-that-puts-people-first
Melissa Bean,IL-08,Solid D,Does not support Medicare for All,Campaign site,https://www.melissabeanforcongress.com/issues
Daniel Biss,IL-09,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.danielbiss.com/issues/protecting-social-security-medicare-and-a-dignified-retirement
Brad Schneider,IL-10,Solid D,Does not support Medicare for All,Campaign site,https://www.schneiderforcongress.com/issues/health-care
Bill Foster,IL-11,Solid D,Does not support Medicare for All,Campaign site,https://www.billfoster.com/issue/healthcare
Julie Fortier,IL-12,Solid R,Does not support Medicare for All,Campaign site,https://www.juliefortier.org/
Nikki Budzinski,IL-13,Solid D,Does not support Medicare for All,Campaign site,https://nikkiforcongress.com/issues/improving-health-care-access
Lauren Underwood,IL-14,Solid D,Does not support Medicare for All,Reviewed by hand,https://www.cbsnews.com/news/the-youngest-black-woman-in-congress-has-an-alternative-to-medicare-for-all
Jennifer Todd,IL-15,Solid R,Does not support Medicare for All,Campaign site,https://www.jentodd2026.us/issues
Paul Nolley,IL-16,Solid R,Does not support Medicare for All,Campaign site,https://www.nolleyforcongress.com/issues
Eric Sorensen,IL-17,Solid D,Does not support Medicare for All,Campaign site,https://www.ericforillinois.com/issues/healthcare
Frank Mrvan,IN-01,Likely D,Does not support Medicare for All,Campaign site,https://mrvanforcongress.com/issues
Jamee Decio,IN-02,Solid R,Does not support Medicare for All,News coverage,https://decioforcongress.com/
Kelly Thompson,IN-03,Solid R,Does not support Medicare for All,Campaign site,https://www.kellythompsonforcongress.com/policies/healthcare/healthcare
Drew Cox,IN-04,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.drewcox.org/the-issues
J. D. Ford,IN-05,Solid R,Does not support Medicare for All,Campaign site,https://www.electjdford.com/platform
Cynthia Wirth,IN-06,Solid R,Supports Medicare for All or single-payer,Campaign site,https://wirth4congress.com/priorities/improve-access-to-healthcare
André Carson,IN-07,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Mary Allen,IN-08,Solid R,Does not support Medicare for All,Campaign site,https://www.maryallenforcongress.com/priorities
Brad Meyer,IN-09,Solid R,Supports Medicare for All or single-payer,News coverage,https://bradmeyer.org/Healthcare.html
Lauren Reinhold,KS-01,Solid R,Does not support Medicare for All,Campaign site,https://www.laurenforkansas.com/priorities
Don Coover,KS-02,Solid R,Does not support Medicare for All,Reviewed by hand,https://kvoe.com/2026/02/18/coover-discusses-congressional-campaign-with-residents-in-emporia-osage-city/
Sharice Davids,KS-03,Solid D,Does not support Medicare for All,Campaign site,https://shariceforcongress.com/issues
Katy Tyndell,KS-04,Solid R,Does not support Medicare for All,News coverage,https://katyforkansas.com/issues/
Drew Williams,KY-01,Solid R,Does not support Medicare for All,News coverage,https://www.williamsforky.com/
Megan Wingfield,KY-02,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.wingfieldforcongress.com/
Morgan McGarvey,KY-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Melissa Strange,KY-04,Solid R,Does not support Medicare for All,Campaign site,https://strangeforky.com/
Ned Pillersdorf,KY-05,Solid R,Does not support Medicare for All,Campaign site,https://nedforcongress.com/
Zach Dembo,KY-06,Likely R,Does not support Medicare for All,Campaign site,https://zachdembo.com/priority/make-healthcare-affordable-for-everyone
Lauren Jewett,LA-01,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.laurenjewett.com/issues/quality-healthcare
Troy Carter,LA-02,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Caleb Walker,LA-03,Solid R,Does not support Medicare for All,Campaign site,https://www.calebforcongress.com/
John Day,LA-03,Solid R,Does not support Medicare for All,Campaign site,https://johndayforcongress.com/john-day-for-congress-platform
Priscilla Gonzalez,LA-03,Solid R,Does not support Medicare for All,No source,
Conrad Cable,LA-04,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.conrad4congress2026.com/
Matt Gromlich,LA-04,Solid R,Does not support Medicare for All,Campaign site,https://www.mattgromlichforcongress.com/priorities
Antonio Wilson,LA-05,Solid R,Does not support Medicare for All,No source,
Dan McKay,LA-05,Solid R,Does not support Medicare for All,No source,https://www.mckayforcongress.com/
Patricia Moore,LA-05,Solid R,Does not support Medicare for All,No source,
Chauna Banks,LA-06,Solid R,Does not support Medicare for All,No source,
Lindsay Garcia,LA-06,Solid R,Does not support Medicare for All,Campaign site,https://www.rubiagarcia.com/issues
Patrick Forbes,LA-06,Solid R,Does not support Medicare for All,Campaign site,https://www.patforbes.com/about-pat
Dan Schwartz,MD-01,Solid R,Does not support Medicare for All,Campaign site,https://schwartzforcongress.com/policy
Johnny Olszewski,MD-02,Solid D,Does not support Medicare for All,Campaign site,https://gojohnnyo.com/priorities
Sarah Elfreth,MD-03,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Glenn Ivey,MD-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Adrian Boafo,MD-05,Solid D,Supports Medicare for All or single-payer,News coverage,https://www.adrianboafo.com/issues
April McClain Delaney,MD-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Kweisi Mfume,MD-07,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Jamie Raskin,MD-08,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Chellie Pingree,ME-01,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Matthew Dunlap,ME-02,Likely R,Supports Medicare for All or single-payer,Campaign site,https://www.mattdunlapforuscongress.com/issues
Callie Barr,MI-01,Solid R,Does not support Medicare for All,Campaign site,https://callieforcongress.com/platform
Benjamin Ambrose,MI-02,Solid R,Supports Medicare for All or single-payer,News coverage,https://ambrose4congress.com/priorities
Hillary Scholten,MI-03,Solid D,Does not support Medicare for All,Campaign site,https://hillaryscholten.com/priorities
Sean McCann,MI-04,Lean R,Does not support Medicare for All,Campaign site,https://seanmccannforcongress.com/issues
Christian Vukasovich,MI-05,Solid R,Supports Medicare for All or single-payer,News coverage,https://www.lenaweeindivisible.org/lenawee-indivisible-endorses-christian-vukasovich-for-mi-05/
Debbie Dingell,MI-06,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
William Lawrence,MI-07,Toss Up,Supports Medicare for All or single-payer,Campaign site,https://wewill2026.com/platform
Kristen McDonald Rivet,MI-08,Likely D,Does not support Medicare for All,Reviewed by hand,https://kristenmcdonaldrivet.com/
Ray Pooley,MI-09,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.pooley4congress.com/about-2
Christina Hines,MI-10,Toss Up,Does not support Medicare for All,Campaign site,https://www.christinahinesforcongress.com/
Jeremy Moss,MI-11,Solid D,Does not support Medicare for All,Campaign site,https://votejeremymoss.com/priorities
Rashida Tlaib,MI-12,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Donavan McKinney,MI-13,Solid D,Supports Medicare for All or single-payer,Campaign site,https://www.donavanforcongress.com/priorities
Jake Johnson,MN-01,Likely R,Does not support Medicare for All,Campaign site,https://www.jakejohnsonforcongress.com/priorities
Matt Little,MN-02,Likely D,Supports Medicare for All or single-payer,Campaign site,https://littleforcongress.com/
Kelly Morrison,MN-03,Solid D,Does not support Medicare for All,Campaign site,https://www.kellyforcongress.org/
Betty McCollum,MN-04,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Ilhan Omar,MN-05,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Doug Chapin,MN-06,Solid R,Supports Medicare for All or single-payer,Campaign site,https://chapinforcongress.com/issues
Erik Osberg,MN-07,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.erikosberg4congress.com/priorities/healthcare-for-everyone
Trina Swanson,MN-08,Solid R,Does not support Medicare for All,Campaign site,https://trinaforcongress.com/priorities
Wesley Bell,MO-01,Solid D,Supports Medicare for All or single-payer,Cosponsors H.R. 3069,https://www.govtrack.us/congress/bills/119/hr3069/cosponsors
Fred Wellman,MO-02,Solid R,Does not support Medicare for All,Campaign site,https://www.wellmanformo.com/policy
Bethany Mann,MO-03,Solid R,Supports Medicare for All or single-payer,Campaign site,https://www.bethanymannforcongress.com/healthcare
Jordan Herrera,MO-04,Solid R,Does not support Medicare for All,Campaign site,https://jordanjherrera.com/
